url,date_crawled,first_search_url
https://www.aruodas.lt/butai-vilniuje-pasilaiciuose-laisves-pr-4-27818461/,2022-11-01,https://www.aruodas.lt/butu-nuoma/vilniuje/?FPriceMax=300&FPriceMax=1000
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-sv-stepono-g-nuomojami-kambariai-paciame-centre-pesciomis-4-1185774/,2022-11-01,https://www.aruodas.lt/butu-nuoma/vilniuje/?FPriceMax=300&FPriceMax=1000
https://www.aruodas.lt/butu-nuoma-vilniuje-pasilaiciuose-gabijos-g-nuomojamas-irengtas-patogaus-ir-originalaus-4-1182476/,2022-11-01,https://www.aruodas.lt/butu-nuoma/vilniuje/?FPriceMax=300&FPriceMax=1000
https://www.aruodas.lt/butu-nuoma-vilniuje-pasilaiciuose-perkunkiemio-g-nuomojamas-sviesus-siltas-ir-labai-4-1190230/,2022-11-01,https://www.aruodas.lt/butu-nuoma/vilniuje/?FPriceMax=300&FPriceMax=1000
https://www.aruodas.lt/butu-nuoma-vilniuje-zirmunuose-zygio-g-atremontuotas-jaukus-butas-ilgalaikei-nuomai-4-1082537/,2022-11-01,https://www.aruodas.lt/butu-nuoma/vilniuje/?FPriceMax=300&FPriceMax=1000
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-sv-stepono-g-nuomojami-unikalus-patogaus-isplanavimo-4-1187444/,2022-11-01,https://www.aruodas.lt/butu-nuoma/vilniuje/?FPriceMax=300&FPriceMax=1000
https://www.aruodas.lt/butu-nuoma-vilniuje-baltupiuose-juozo-balcikonio-g-sie-apartamentai-atsilaisvina-nuo-lapkricio-4-1006669/,2022-11-01,https://www.aruodas.lt/butu-nuoma/vilniuje/?FPriceMax=300&FPriceMax=1000
https://www.aruodas.lt/butu-nuoma-vilniuje-snipiskese-kalvariju-g-nuomojamas-funkcionaliai-isplanuotas-1-4-1189854/,2022-11-01,https://www.aruodas.lt/butu-nuoma/vilniuje/?FPriceMax=300&FPriceMax=1000
https://www.aruodas.lt/butu-nuoma-vilniuje-pasilaiciuose-ukmerges-g-nuomojamas-stilingas-jaukus-sviesus-ir-4-1189884/,2022-11-01,https://www.aruodas.lt/butu-nuoma/vilniuje/?FPriceMax=300&FPriceMax=1000
https://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-mindaugo-g-jaukus-studio-tipo-butas-naujamiestyje-4-1186742/,2022-11-01,https://www.aruodas.lt/butu-nuoma/vilniuje/?FPriceMax=300&FPriceMax=1000
https://www.aruodas.lt/butu-nuoma-vilniuje-snipiskese-giedraiciu-g-isnuomojamas-4-1188424/,2022-11-01,https://www.aruodas.lt/butu-nuoma/vilniuje/?FPriceMax=300&FPriceMax=1000
https://www.aruodas.lt/butu-nuoma-vilniuje-snipiskese-kintu-g-isnuomojamas-visiskai-naujas-puikiai-4-1176489/,2022-11-01,https://www.aruodas.lt/butu-nuoma/vilniuje/?FPriceMax=300&FPriceMax=1000
https://www.aruodas.lt/butu-nuoma-vilniuje-pasilaiciuose-eitminu-g-puikus-ir-labai-jaukus-2-kambariu-butas-4-575387/,2022-11-01,https://www.aruodas.lt/butu-nuoma/vilniuje/?FPriceMax=300&FPriceMax=1000
https://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-ceikiniu-g-butukas-su-terasa-ir-hamaku-isnuomojamas-4-1190462/,2022-11-01,https://www.aruodas.lt/butu-nuoma/vilniuje/?FPriceMax=300&FPriceMax=1000
https://www.aruodas.lt/butu-nuoma-vilniuje-balsiuose-aitvaru-g-isnuomojamas-1-kambario-butas-privaciame-name-4-1185302/,2022-11-01,https://www.aruodas.lt/butu-nuoma/vilniuje/?FPriceMax=300&FPriceMax=1000
https://www.aruodas.lt/butu-nuoma-vilniuje-santariskese-santariskiu-g-isnuomojamas-kompaktiskas-dvieju-kambariu-4-1188106/,2022-11-01,https://www.aruodas.lt/butu-nuoma/vilniuje/?FPriceMax=300&FPriceMax=1000
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-zygimantu-g-patogus-nedideli-namai-del-individualaus-4-1017813/,2022-11-01,https://www.aruodas.lt/butu-nuoma/vilniuje/?FPriceMax=300&FPriceMax=1000
https://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-mindaugo-g-nuomojamas-2k-butas-su-balkonu-mindaugo-g-23-4-1189508/,2022-11-01,https://www.aruodas.lt/butu-nuoma/vilniuje/?FPriceMax=300&FPriceMax=1000
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-sv-dvasios-g-isnuomojamas-naujas-puikiai-isplanuotas-4-1179835/,2022-11-01,https://www.aruodas.lt/butu-nuoma/vilniuje/?FPriceMax=300&FPriceMax=1000
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-universiteto-g-jaukus-naujas-dvieju-kambariu-butas-naujai-4-982139/,2022-11-01,https://www.aruodas.lt/butu-nuoma/vilniuje/?FPriceMax=300&FPriceMax=1000
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-j-basanaviciaus-g-visiskai-nauja-ypac-jauki-ismani-ir-4-1173859/,2022-11-01,https://www.aruodas.lt/butu-nuoma/vilniuje/?FPriceMax=300&FPriceMax=1000
https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-pylimo-g-nuomojamas-stilingas-naujai-irengtas-butas-4-1182636/,2022-11-01,https://www.aruodas.lt/butu-nuoma/vilniuje/?FPriceMax=300&FPriceMax=1000
